Algo	Type	runs	id	iterations	Found	time
AVM	Break 	54	0	1	 true 	0.419
AVM	Break 	55	0	1	 true 	0.807
AVM	Break 	56	0	1	 true 	0.852
AVM	Break 	57	0	1	 true 	0.532
AVM	Break 	58	0	1	 true 	0.825
AVM	Break 	59	0	1	 true 	1.123
AVM	Break 	60	0	1	 true 	0.758
AVM	Break 	61	0	1	 true 	0.502
AVM	Break 	62	0	1	 true 	0.623
AVM	Break 	63	0	1	 true 	0.725
AVM	Break 	64	0	1	 true 	0.765
AVM	Break 	65	0	1	 true 	0.663
AVM	Break 	66	0	1	 true 	0.377
AVM	Break 	67	0	1	 true 	0.932
AVM	Break 	68	0	1	 true 	0.569
AVM	Break 	69	0	1	 true 	0.800
AVM	Break 	70	0	1	 true 	0.759
AVM	Break 	71	0	1	 true 	0.729
AVM	Break 	72	0	1	 true 	0.451
AVM	Break 	73	0	1	 true 	0.735
AVM	Break 	74	0	1	 true 	0.494
AVM	Break 	75	0	1	 true 	0.779
AVM	Break 	76	0	1	 true 	0.930
AVM	Break 	77	0	1	 true 	0.453
AVM	Break 	78	0	1	 true 	0.677
AVM	Break 	79	0	1	 true 	0.515
AVM	Break 	80	0	1	 true 	0.705
AVM	Break 	81	0	1	 true 	0.549
AVM	Break 	82	0	1	 true 	1.077
AVM	Break 	83	0	1	 true 	0.672
AVM	Break 	84	0	1	 true 	1.060
AVM	Break 	85	0	1	 true 	1.136
AVM	Break 	86	0	1	 true 	0.880
AVM	Break 	87	0	1	 true 	0.795
AVM	Break 	88	0	1	 true 	1.058
AVM	Break 	89	0	1	 true 	0.607
AVM	Break 	90	0	1	 true 	0.486
AVM	Break 	91	0	1	 true 	0.750
AVM	Break 	92	0	1	 true 	0.658
AVM	Break 	93	0	1	 true 	0.821
AVM	Break 	94	0	1	 true 	1.065
AVM	Break 	95	0	1	 true 	0.930
AVM	Break 	96	0	1	 true 	0.678
AVM	Break 	97	0	1	 true 	0.890
AVM	Break 	98	0	1	 true 	0.992
AVM	Break 	99	0	1	 true 	0.746
AVM	Break 	0	1	1	 true 	0.344
AVM	Break 	1	1	1	 true 	0.377
AVM	Break 	2	1	1	 true 	0.385
AVM	Break 	3	1	1	 true 	0.387
AVM	Break 	4	1	1	 true 	0.370
AVM	Break 	5	1	1	 true 	0.381
AVM	Break 	6	1	1	 true 	0.382
AVM	Break 	7	1	1	 true 	0.387
AVM	Break 	8	1	1	 true 	0.352
AVM	Break 	9	1	1	 true 	0.367
AVM	Break 	10	1	1	 true 	0.343
AVM	Break 	11	1	1	 true 	0.387
AVM	Break 	12	1	1	 true 	0.350
AVM	Break 	13	1	1	 true 	0.388
AVM	Break 	14	1	1	 true 	0.394
AVM	Break 	15	1	1	 true 	0.344
AVM	Break 	16	1	1	 true 	0.360
AVM	Break 	17	1	1	 true 	0.348
AVM	Break 	18	1	1	 true 	0.366
AVM	Break 	19	1	1	 true 	0.353
AVM	Break 	20	1	1	 true 	0.381
AVM	Break 	21	1	1	 true 	0.385
AVM	Break 	22	1	1	 true 	0.370
AVM	Break 	23	1	1	 true 	0.337
AVM	Break 	24	1	1	 true 	0.367
AVM	Break 	25	1	1	 true 	0.321
AVM	Break 	26	1	1	 true 	0.343
AVM	Break 	27	1	1	 true 	0.367
AVM	Break 	28	1	1	 true 	0.390
AVM	Break 	29	1	1	 true 	0.391
AVM	Break 	30	1	1	 true 	0.362
AVM	Break 	31	1	1	 true 	0.328
AVM	Break 	32	1	1	 true 	0.361
AVM	Break 	33	1	1	 true 	0.336
AVM	Break 	34	1	1	 true 	0.379
AVM	Break 	35	1	1	 true 	0.374
AVM	Break 	36	1	1	 true 	0.336
AVM	Break 	37	1	1	 true 	0.370
AVM	Break 	38	1	1	 true 	0.348
AVM	Break 	39	1	1	 true 	0.327
AVM	Break 	40	1	1	 true 	0.320
AVM	Break 	41	1	1	 true 	0.322
AVM	Break 	42	1	1	 true 	0.362
AVM	Break 	43	1	1	 true 	0.347
AVM	Break 	44	1	1	 true 	0.333
AVM	Break 	45	1	1	 true 	0.370
AVM	Break 	46	1	1	 true 	0.378
AVM	Break 	47	1	1	 true 	0.335
AVM	Break 	48	1	1	 true 	0.367
AVM	Break 	49	1	1	 true 	0.355
AVM	Break 	50	1	1	 true 	0.324
AVM	Break 	51	1	1	 true 	0.353
AVM	Break 	52	1	1	 true 	0.388
AVM	Break 	53	1	1	 true 	0.363
AVM	Break 	54	1	1	 true 	0.347
AVM	Break 	55	1	1	 true 	0.331
AVM	Break 	56	1	1	 true 	0.361
AVM	Break 	57	1	1	 true 	0.349
AVM	Break 	58	1	1	 true 	0.356
AVM	Break 	59	1	1	 true 	0.354
AVM	Break 	60	1	1	 true 	0.376
AVM	Break 	61	1	1	 true 	0.375
