Algo	Type	runs	id	iterations	Found	time
AVM	Break 	80	0	1	 true 	0.457
AVM	Break 	81	0	1	 true 	0.378
AVM	Break 	82	0	1	 true 	0.568
AVM	Break 	83	0	1	 true 	0.752
AVM	Break 	84	0	1	 true 	0.956
AVM	Break 	85	0	1	 true 	0.629
AVM	Break 	86	0	1	 true 	0.524
AVM	Break 	87	0	1	 true 	0.635
AVM	Break 	88	0	1	 true 	0.636
AVM	Break 	89	0	1	 true 	0.376
AVM	Break 	90	0	1	 true 	0.489
AVM	Break 	91	0	1	 true 	0.527
AVM	Break 	92	0	1	 true 	0.893
AVM	Break 	93	0	1	 true 	0.930
AVM	Break 	94	0	1	 true 	0.402
AVM	Break 	95	0	1	 true 	0.533
AVM	Break 	96	0	1	 true 	0.909
AVM	Break 	97	0	1	 true 	0.921
AVM	Break 	98	0	1	 true 	0.954
AVM	Break 	99	0	1	 true 	0.311
AVM	Break 	0	1	1	 true 	0.370
AVM	Break 	1	1	1	 true 	0.346
AVM	Break 	2	1	1	 true 	0.346
AVM	Break 	3	1	1	 true 	0.315
AVM	Break 	4	1	1	 true 	0.352
AVM	Break 	5	1	1	 true 	0.329
AVM	Break 	6	1	1	 true 	0.349
AVM	Break 	7	1	1	 true 	0.363
AVM	Break 	8	1	1	 true 	0.337
AVM	Break 	9	1	1	 true 	0.329
AVM	Break 	10	1	1	 true 	0.368
AVM	Break 	11	1	1	 true 	0.320
AVM	Break 	12	1	1	 true 	0.387
AVM	Break 	13	1	1	 true 	0.385
AVM	Break 	14	1	1	 true 	0.377
AVM	Break 	15	1	1	 true 	0.381
AVM	Break 	16	1	1	 true 	0.387
AVM	Break 	17	1	1	 true 	0.322
AVM	Break 	18	1	1	 true 	0.385
AVM	Break 	19	1	1	 true 	0.391
AVM	Break 	20	1	1	 true 	0.322
AVM	Break 	21	1	1	 true 	0.383
AVM	Break 	22	1	1	 true 	0.346
AVM	Break 	23	1	1	 true 	0.374
AVM	Break 	24	1	1	 true 	0.388
AVM	Break 	25	1	1	 true 	0.332
AVM	Break 	26	1	1	 true 	0.331
AVM	Break 	27	1	1	 true 	0.350
AVM	Break 	28	1	1	 true 	0.352
AVM	Break 	29	1	1	 true 	0.333
AVM	Break 	30	1	1	 true 	0.370
AVM	Break 	31	1	1	 true 	0.381
AVM	Break 	32	1	1	 true 	0.336
AVM	Break 	33	1	1	 true 	0.317
AVM	Break 	34	1	1	 true 	0.333
AVM	Break 	35	1	1	 true 	0.378
AVM	Break 	36	1	1	 true 	0.355
AVM	Break 	37	1	1	 true 	0.316
AVM	Break 	38	1	1	 true 	0.341
AVM	Break 	39	1	1	 true 	0.334
AVM	Break 	40	1	1	 true 	0.333
AVM	Break 	41	1	1	 true 	0.336
AVM	Break 	42	1	1	 true 	0.318
AVM	Break 	43	1	1	 true 	0.381
AVM	Break 	44	1	1	 true 	0.347
AVM	Break 	45	1	1	 true 	0.347
AVM	Break 	46	1	1	 true 	0.384
AVM	Break 	47	1	1	 true 	0.338
AVM	Break 	48	1	1	 true 	0.333
AVM	Break 	49	1	1	 true 	0.390
AVM	Break 	50	1	1	 true 	0.344
AVM	Break 	51	1	1	 true 	0.352
AVM	Break 	52	1	1	 true 	0.357
AVM	Break 	53	1	1	 true 	0.326
AVM	Break 	54	1	1	 true 	0.323
AVM	Break 	55	1	1	 true 	0.363
AVM	Break 	56	1	1	 true 	0.333
AVM	Break 	57	1	1	 true 	0.368
AVM	Break 	58	1	1	 true 	0.366
AVM	Break 	59	1	1	 true 	0.344
AVM	Break 	60	1	1	 true 	0.339
AVM	Break 	61	1	1	 true 	0.350
AVM	Break 	62	1	1	 true 	0.370
AVM	Break 	63	1	1	 true 	0.355
AVM	Break 	64	1	1	 true 	0.357
AVM	Break 	65	1	1	 true 	0.366
AVM	Break 	66	1	1	 true 	0.379
AVM	Break 	67	1	1	 true 	0.376
AVM	Break 	68	1	1	 true 	0.362
AVM	Break 	69	1	1	 true 	0.364
AVM	Break 	70	1	1	 true 	0.319
AVM	Break 	71	1	1	 true 	0.385
AVM	Break 	72	1	1	 true 	0.326
AVM	Break 	73	1	1	 true 	0.391
AVM	Break 	74	1	1	 true 	0.390
AVM	Break 	75	1	1	 true 	0.328
AVM	Break 	76	1	1	 true 	0.341
AVM	Break 	77	1	1	 true 	0.367
AVM	Break 	78	1	1	 true 	0.360
AVM	Break 	79	1	1	 true 	0.341
AVM	Break 	80	1	1	 true 	0.349
AVM	Break 	81	1	1	 true 	0.367
AVM	Break 	82	1	1	 true 	0.330
AVM	Break 	83	1	1	 true 	0.374
AVM	Break 	84	1	1	 true 	0.352
AVM	Break 	85	1	1	 true 	0.350
AVM	Break 	86	1	1	 true 	0.390
AVM	Break 	87	1	1	 true 	0.391
AVM	Break 	88	1	1	 true 	0.342
AVM	Break 	89	1	1	 true 	0.348
AVM	Break 	90	1	1	 true 	0.362
AVM	Break 	91	1	1	 true 	0.330
AVM	Break 	92	1	1	 true 	0.335
AVM	Break 	93	1	1	 true 	0.362
AVM	Break 	94	1	1	 true 	0.374
AVM	Break 	95	1	1	 true 	0.360
AVM	Break 	96	1	1	 true 	0.362
AVM	Break 	97	1	1	 true 	0.335
AVM	Break 	98	1	1	 true 	0.326
AVM	Break 	99	1	1	 true 	0.331
AVM	Break 	0	2	0	 false 	0.000
AVM	Break 	1	2	0	 false 	0.000
AVM	Break 	2	2	0	 false 	0.000
AVM	Break 	3	2	0	 false 	0.000
AVM	Break 	4	2	0	 false 	0.000
AVM	Break 	5	2	0	 false 	0.000
AVM	Break 	6	2	0	 false 	0.000
AVM	Break 	7	2	0	 false 	0.000
AVM	Break 	8	2	0	 false 	0.000
AVM	Break 	9	2	0	 false 	0.000
AVM	Break 	10	2	0	 false 	0.000
AVM	Break 	11	2	0	 false 	0.000
AVM	Break 	12	2	0	 false 	0.000
AVM	Break 	13	2	0	 false 	0.000
AVM	Break 	14	2	0	 false 	0.000
AVM	Break 	15	2	0	 false 	0.000
AVM	Break 	16	2	0	 false 	0.000
AVM	Break 	17	2	0	 false 	0.000
AVM	Break 	18	2	0	 false 	0.000
AVM	Break 	19	2	0	 false 	0.000
AVM	Break 	20	2	0	 false 	0.000
AVM	Break 	21	2	0	 false 	0.000
AVM	Break 	22	2	0	 false 	0.000
AVM	Break 	23	2	0	 false 	0.000
AVM	Break 	24	2	0	 false 	0.000
AVM	Break 	25	2	0	 false 	0.000
AVM	Break 	26	2	0	 false 	0.000
AVM	Break 	27	2	0	 false 	0.000
AVM	Break 	28	2	0	 false 	0.000
AVM	Break 	29	2	0	 false 	0.000
AVM	Break 	30	2	0	 false 	0.000
AVM	Break 	31	2	0	 false 	0.000
